차수,경위,사육두수,신고일,확진일,X,Y,px,py
"1",신고,"46","45218","45219",126.418331400000000,36.673274800000002,903345.4995465291,1853358.6027608048
"2",신고,"49","45219","45220",126.789640899999995,36.866569499999997,936684.3120305157,1874491.1250950049
"3",신고,"95","45219","45220",126.980411200000006,37.046097500000002,953796.7804699476,1894297.3314190533
"4",신고,"126","45219","45220",126.406151199999996,36.662875700000001,902243.9234813022,1852217.3433796261
"5",신고,"54","45220","45221",126.639267599999997,37.748544099999997,924171.9658410408,1972449.7455216437
"6",신고,"100","45220","45221",126.879767200000003,37.010695499999997,944821.5557800638,1890423.6225131035
"7",신고,"10","45220","45221",126.300992399999998,36.950307199999997,893245.4526564104,1884216.3033739091
"8",예찰,"24","45220","45221",126.419203999999993,36.680378099999999,903432.3544753458,1854145.7135831288
"9",신고,"77","45220","45221",126.421649700000003,36.674021699999997,903642.9540080586,1853438.1198331141
"10",예찰,"70","45220","45221",126.411188699999997,36.683884800000001,902720.5901622860,1854542.8235587089
"11",신고,"109","45221","45222",126.614656299999993,37.749149299999999,922004.3737165075,1972537.1202997661
"12",예찰,"21","45221","45222",126.412783800000000,36.663973599999998,902838.0725384596,1852332.3988338041
"13",신고,"40","45221","45222",126.788046600000001,36.865967599999998,936541.7091084184,1874425.4126796743
"14",신고,"9","45221","45222",127.642868300000004,36.865824699999997,1012734.1644615408,1874182.5417961981
"15",신고,"84","45221","45222",127.012000799999996,37.103288100000000,956638.4086349676,1900626.9333077343
"16",신고,"92","45221","45222",126.787959099999995,37.115014299999999,936740.5064355946,1902053.5812393925
"17",신고,"70","45221","45222",126.723979400000005,37.218290799999998,931150.0542478748,1913555.5315739329
"18",신고,"36","45222","45223",126.413870299999999,36.664988299999997,902936.4481446577,1852443.8624879743
"19",예찰,"52","45222","45223",126.772358900000000,36.871438599999998,935148.0265784396,1875042.8685027328
"20",예찰,"171","45222","45223",126.766609900000006,36.861376600000000,934627.0591613570,1873930.5775783944
"21",예찰,"24","45222","45223",126.775383800000000,36.870947100000002,935417.2150851724,1874986.2945221276
"22",신고,"69","45222","45223",126.764856800000004,36.838605000000001,934451.3497041860,1871405.6563990801
"23",신고,"36","45222","45223",127.013506399999997,37.327546200000000,956899.9571513714,1925505.0763534205
"24",신고,"88","45222","45223",126.408413800000005,37.629445799999999,903679.9234165197,1959447.7797393175
"25",신고,"20","45222","45223",126.414189699999994,37.732278899999997,904321.7798768101,1970851.3154322249
"26",신고,"36","45222","45223",126.395737699999998,37.779870000000003,902758.1172289288,1976150.6952420699
"27",신고,"29","45222","45223",128.014221899999995,38.058069199999998,1045111.8323684298,2006567.7260470756
"28",신고,"36","45222","45223",126.410223299999998,36.684583799999999,902635.2150820775,1854621.3456108889
"29",신고,"25","45223","45223",126.492095399999997,36.571719500000000,909818.7894848594,1842021.1573496100
"30",신고,"14","45223","45224",126.773086399999997,37.116275999999999,935420.2309552422,1902203.5642649871
"31",신고,"522","45223","45224",126.455943599999998,37.785953999999997,908067.5676673392,1976764.8294641091
"32",신고,"70","45223","45224",126.399251000000007,36.673632499999997,901640.9302839654,1853417.6801271508
"33",신고,"15","45223","45224",126.767474000000007,36.855753499999999,934699.3004347964,1873306.1981443041
"34",신고,"148","45223","45224",126.759552900000003,35.682415800000001,932998.1208957238,1743162.1758144102
"35",신고,"55","45223","45224",126.566256499999994,37.606304999999999,917582.5496692936,1956730.0228600600
"36",신고,"15","45223","45224",126.802046000000004,37.076446599999997,937960.6012575740,1897765.6915446897
"37",신고,"40","45223","45224",126.763507399999995,37.119267200000003,934571.7839284360,1902541.9604631001
"38",신고,"125","45223","45224",127.054508799999994,37.129163100000000,960428.9838829442,1903478.8493047347
"39",신고,"109","45223","45225",126.615679299999996,37.749665899999997,922095.0398182070,1972593.5852803148
"40",신고,"69","45224","45225",127.015485600000005,38.085922600000004,957510.4887277512,2009644.1802986893
"41",신고,"96","45224","45225",127.060182600000005,38.047564999999999,961410.0697928906,2005368.7424591917
"42",신고,"43","45224","45225",128.100385600000010,37.498580099999998,1053069.3864407374,1944538.0581088904
"43",신고,"90","45224","45225",126.768308099999999,37.054880199999999,934943.2626841278,1895395.7379608257
"44",신고,"14","45224","45225",126.416520700000007,36.738103299999999,903264.9908176248,1860552.0788730760
"45",신고,"21","45224","45225",126.390263800000000,37.797778200000003,902299.6524014547,1978143.3760410084
"46",신고,"50","45224","45225",126.416143899999994,37.755558999999998,904523.8966752964,1973432.2996951228
"47",신고,"135","45224","45225",126.429302800000002,37.775078700000002,905707.8781184118,1975584.7132355657
"48",신고,"56","45225","45226",126.748533499999994,37.814806200000000,933857.2027192650,1979718.6329157057
"49",신고,"88","45225","45226",126.908440900000002,37.959698099999997,948034.0539656596,1995693.4509370124
