차수|경위|사육두수|신고일|확진일|X|Y|px|py
1|신고|46|2023-10-19|2023-10-20|126.4183314|36.6732748|903345.4995|1853358.603
2|신고|49|2023-10-20|2023-10-21|126.7896409|36.8665695|936684.312|1874491.125
3|신고|95|2023-10-20|2023-10-21|126.9804112|37.0460975|953796.7805|1894297.331
4|신고|126|2023-10-20|2023-10-21|126.4061512|36.6628757|902243.9235|1852217.343
5|신고|54|2023-10-21|2023-10-22|126.6392676|37.7485441|924171.9658|1972449.746
6|신고|100|2023-10-21|2023-10-22|126.8797672|37.0106955|944821.5558|1890423.623
7|신고|10|2023-10-21|2023-10-22|126.3009924|36.9503072|893245.4527|1884216.303
8|예찰|24|2023-10-21|2023-10-22|126.419204|36.6803781|903432.3545|1854145.714
9|신고|77|2023-10-21|2023-10-22|126.4216497|36.6740217|903642.954|1853438.12
10|예찰|70|2023-10-21|2023-10-22|126.4111887|36.6838848|902720.5902|1854542.824
11|신고|109|2023-10-22|2023-10-23|126.6146563|37.7491493|922004.3737|1972537.12
12|예찰|21|2023-10-22|2023-10-23|126.4127838|36.6639736|902838.0725|1852332.399
13|신고|40|2023-10-22|2023-10-23|126.7880466|36.8659676|936541.7091|1874425.413
14|신고|9|2023-10-22|2023-10-23|127.6428683|36.8658247|1012734.164|1874182.542
15|신고|84|2023-10-22|2023-10-23|127.0120008|37.1032881|956638.4086|1900626.933
16|신고|92|2023-10-22|2023-10-23|126.7879591|37.1150143|936740.5064|1902053.581
17|신고|70|2023-10-22|2023-10-23|126.7239794|37.2182908|931150.0542|1913555.532
18|신고|36|2023-10-23|2023-10-24|126.4138703|36.6649883|902936.4481|1852443.862
19|예찰|52|2023-10-23|2023-10-24|126.7723589|36.8714386|935148.0266|1875042.869
20|예찰|171|2023-10-23|2023-10-24|126.7666099|36.8613766|934627.0592|1873930.578
21|예찰|24|2023-10-23|2023-10-24|126.7753838|36.8709471|935417.2151|1874986.295
22|신고|69|2023-10-23|2023-10-24|126.7648568|36.838605|934451.3497|1871405.656
23|신고|36|2023-10-23|2023-10-24|127.0135064|37.3275462|956899.9572|1925505.076
24|신고|88|2023-10-23|2023-10-24|126.4084138|37.6294458|903679.9234|1959447.78
25|신고|20|2023-10-23|2023-10-24|126.4141897|37.7322789|904321.7799|1970851.315
26|신고|36|2023-10-23|2023-10-24|126.3957377|37.77987|902758.1172|1976150.695
27|신고|29|2023-10-23|2023-10-24|128.0142219|38.0580692|1045111.832|2006567.726
28|신고|36|2023-10-23|2023-10-24|126.4102233|36.6845838|902635.2151|1854621.346
29|신고|25|2023-10-24|2023-10-24|126.4920954|36.5717195|909818.7895|1842021.157
30|신고|14|2023-10-24|2023-10-25|126.7730864|37.116276|935420.231|1902203.564
31|신고|522|2023-10-24|2023-10-25|126.4559436|37.785954|908067.5677|1976764.829
32|신고|70|2023-10-24|2023-10-25|126.399251|36.6736325|901640.9303|1853417.68
33|신고|15|2023-10-24|2023-10-25|126.767474|36.8557535|934699.3004|1873306.198
